,K-O,Hi-Lo,Hi-Opt I,Hi-Opt II,Knock-Out,KISS,Zen,Omega II,Red 7,Wizard Ace,Halves,No Strategy
1532,50.377,49.9976,50.5053,50.3306,50.1349,50.0197,50.2127,50.3045,50.4109,49.78,50.0511,50.7977
1533,50.3844,49.9911,50.4985,50.3262,50.1325,50.0137,50.2131,50.315,50.413,49.7897,50.0439,50.8013
1534,50.3783,49.9786,50.5071,50.3201,50.1324,50.0071,50.2005,50.3142,50.4021,49.7868,50.0457,50.8043
1535,50.3751,49.9763,50.4966,50.3092,50.1376,50.0065,50.1974,50.3057,50.393,49.7733,50.0456,50.8098
1536,50.3677,49.9887,50.4969,50.3126,50.1334,50.0107,50.205,50.315,50.3897,49.7663,50.0385,50.8098
1537,50.3681,49.9917,50.4942,50.3136,50.1298,50.0059,50.2007,50.3261,50.3913,49.7647,50.0367,50.8081
1538,50.3779,49.987,50.4974,50.3216,50.1326,49.9935,50.2083,50.3229,50.3934,49.772,50.0248,50.8195
1539,50.3829,49.9793,50.4995,50.3262,50.1296,49.9994,50.204,50.3227,50.389,49.7769,50.0278,50.81
1540,50.3856,49.9852,50.4986,50.323,50.136,49.9929,50.2157,50.3166,50.3887,49.7847,50.0272,50.8119
1541,50.3807,49.9787,50.5077,50.3299,50.123,49.9816,50.199,50.3276,50.3802,49.7842,50.026,50.8179
1542,50.3845,49.9746,50.508,50.3296,50.1241,49.9858,50.1948,50.325,50.3817,49.7861,50.0265,50.8168
1543,50.3814,49.9858,50.507,50.3294,50.1352,49.9994,50.1958,50.3201,50.3738,49.7857,50.0307,50.818
1544,50.3846,49.9876,50.5114,50.3327,50.1392,49.997,50.1898,50.3181,50.3742,49.7829,50.033,50.8134
1545,50.3961,49.9947,50.5075,50.3267,50.1549,49.9953,50.1873,50.3197,50.3751,49.7789,50.0288,50.8187
1546,50.39,49.9941,50.5054,50.3294,50.1525,49.9923,50.1966,50.3124,50.3825,49.789,50.0312,50.8176
