,No Strategy
1490,49.9191
1491,49.9228
1492,49.9161
1493,49.9192
1494,49.9126
1495,49.909
1496,49.9029
1497,49.9146
1498,49.914
1499,49.9196
1500,49.9269
1501,49.9264
1502,49.9246
1503,49.9155
1504,49.9204
1505,49.9138
1506,49.9175
1507,49.9151
1508,49.9231
1509,49.9231
1510,49.9292
1511,49.9335
1512,49.9323
1513,49.9354
1514,49.9342
1515,49.9355
1516,49.9307
1517,49.9356
1518,49.941
1519,49.9387
1520,49.9357
1521,49.9297
1522,49.9442
1523,49.9526
1524,49.9425
1525,49.9449
1526,49.9377
1527,49.9342
1528,49.9342
1529,49.9259
1530,49.9289
1531,49.923
1532,49.9243
1533,49.9184
1534,49.9273
1535,49.925
1536,49.9209
1537,49.9174
1538,49.9204
1539,49.9294
1540,49.9282
1541,49.9223
1542,49.9248
1543,49.9236
1544,49.9237
1545,49.9267
1546,49.9374
1547,49.9415
1548,49.9333
1549,49.9292
1550,49.9375
1551,49.924
1552,49.94
1553,49.9435
1554,49.9447
1555,49.9489
1556,49.9495
1557,49.9654
1558,49.9631
1559,49.959
1560,49.9508
1561,49.9467
1562,49.9444
1563,49.9398
1564,49.9416
1565,49.9305
1566,49.9253
1567,49.9219
1568,49.9161
1569,49.9092
1570,49.9022
1571,49.9093
1572,49.921
1573,49.9106
1574,49.9153
1575,49.9182
1576,49.9073
1577,49.9033
1578,49.8894
1579,49.8889
1580,49.8786
1581,49.8804
1582,49.873
1583,49.8753
1584,49.8841
1585,49.9009
1586,49.8992
1587,49.9073
1588,49.9108
1589,49.9109
1590,49.9121
1591,49.9104
1592,49.9036
1593,49.8985
1594,49.8957
1595,49.9003
1596,49.893
1597,49.8913
1598,49.8891
1599,49.8903
1600,49.8818
1601,49.8882
1602,49.8962
1603,49.8951
1604,49.9015
1605,49.8918
1606,49.8931
1607,49.8869
1608,49.8886
1609,49.8813
1610,49.8865
1611,49.9002
1612,49.8991
1613,49.8992
1614,49.9072
1615,49.9197
1616,49.9242
1617,49.9198
1618,49.9232
1619,49.9142
1620,49.9154
1621,49.9132
1622,49.924
1623,49.9257
1624,49.9235
1625,49.9134
1626,49.9152
1627,49.9118
1628,49.9102
1629,49.9097
1630,49.9058
1631,49.9053
1632,49.9037
1633,49.9004
1634,49.9072
1635,49.9
1636,49.9056
1637,49.9085
1638,49.9247
1639,49.9314
1640,49.9432
1641,49.9499
1642,49.9599
1643,49.9522
1644,49.9494
1645,49.9439
1646,49.9467
1647,49.9567
